Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
etiqueta energetica,1000,47,0.17,0.12,501000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.55,0.67,0.67,1.00,0.55,0.76,0.76,1.00,1.00,1.00,1.00,0.55"
etiqueta eficiencia energetica,480,49,0.30,0.07,192000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.44,0.54,0.67,0.81,0.44,0.54,0.54,1.00,0.44,0.54,0.44,0.36"
etiquetado energetico,480,52,0.17,0.12,77100,Informational,"Featured snippet, Reviews, FAQ, Video, Image, People also ask, Image pack, Video carousel","0.36,0.44,0.44,0.67,0.36,0.54,0.54,0.67,0.36,1.00,0.54,0.19"
etiquetas energeticas,390,43,0.17,0.12,65000,"Informational, Commercial","Reviews, Site links, FAQ, Video, Image, People also ask, Image pack, Video carousel","0.44,0.54,0.54,0.81,0.44,0.66,0.66,0.81,0.81,1.00,0.54,0.35"
etiqueta certificado energetico,260,43,0.59,0.04,52800,Informational,"Reviews, FAQ, People also ask, Image pack","0.28,0.53,0.53,0.66,0.66,0.66,0.66,0.82,0.82,0.82,1.00,1.00"
etiqueta de eficiencia energética,260,47,0.24,0.11,2780000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.28,0.43,0.53,0.66,0.43,0.53,0.53,1.00,0.66,0.82,0.66,0.43"
etiqueta energetica electrodomesticos,260,39,0.12,0.46,21600,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.54,0.54,0.54,1.00,0.54,0.54,0.43,0.54,0.43,0.43,0.35,0.22"
etiqueta energetica frigorifico,260,38,0.19,1.00,15000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.82,1.00,0.66,0.82,0.53,0.82,0.66,0.66,0.43,0.53,0.82,0.66"
descargar etiqueta energetica,210,30,0.00,0.00,55800,Informational,"Reviews, People also ask, Image pack","0.23,0.43,0.35,0.53,0.53,0.43,0.53,0.66,0.43,0.43,1.00,0.35"
etiqueta energetica lavadora,210,29,0.25,0.86,45800,Informational,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.43,0.65,0.65,1.00,0.53,0.81,0.65,0.81,0.53,0.81,0.43,0.34"
nueva etiqueta energetica,210,35,0.08,0.17,422000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.66,0.66,0.66,0.82,0.35,0.66,0.53,0.53,0.35,0.53,0.43,0.43"
etiqueta de eficiencia energetica,170,47,0.24,0.11,179000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.34,0.42,0.53,0.65,0.42,0.53,0.53,1.00,0.53,1.00,0.53,0.26"
etiqueta energética,170,36,0.33,0.12,8110000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.34,0.53,0.80,0.80,0.53,0.53,0.80,1.00,0.53,1.00,0.65,0.42"
nuevas etiquetas energéticas,170,36,0.04,0.18,2590000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.53,0.53,0.53,0.66,0.28,0.35,0.35,0.35,0.28,0.28,0.17,0.17"
nuevo etiquetado energetico,170,34,0.07,0.18,83200,Informational,"Reviews, People also ask, Image pack, Video carousel","0.66,0.66,0.53,0.66,0.28,0.43,0.53,0.35,0.23,0.23,0.17,0.17"
nuevo etiquetado energético,170,42,0.07,0.18,1800000,Informational,"Featured snippet, Reviews, FAQ, People also ask, Video carousel","0.66,0.66,0.53,0.66,0.28,0.43,0.53,0.35,0.35,0.28,0.23,0.23"
etiqueta energetica 2021,140,27,0.36,0.04,6110000,Informational,"Reviews, FAQ, Video, Image, People also ask, Image pack","0.65,0.65,0.65,0.81,0.65,0.34,0.34,0.34,0.06,0.12,0.15,0.12"
etiqueta energetica madrid,140,19,0.84,0.10,78600,"Informational, Transactional","Reviews, People also ask, Image pack, Adwords bottom","0.33,0.52,0.66,0.66,0.52,0.66,0.52,0.66,0.42,0.66,1.00,0.52"
etiqueta energética 2021,140,27,0.36,0.04,3700000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.65,0.65,0.53,0.81,0.53,0.34,0.28,0.34,0.28,0.06,0.09,0.09"
etiquetas energeticas electrodomesticos,140,41,0.12,0.46,2270000,Informational,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.52,0.66,0.66,1.00,0.52,0.52,0.42,0.66,0.42,0.52,0.42,0.23"
nuevas etiquetas energeticas,140,34,0.04,0.18,66900,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.53,0.53,0.53,0.65,0.28,0.34,0.34,0.34,0.28,0.21,0.12,0.15"
descargar etiqueta energetica madrid,110,14,0.00,0.00,18900,Transactional,"Reviews, People also ask, Image pack","0.41,0.64,0.64,0.64,0.64,0.52,0.29,0.64,0.52,0.64,1.00,0.52"
eficiencia energetica etiqueta,110,41,0.30,0.07,5540000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.52,0.52,0.64,0.82,0.52,0.52,0.52,1.00,0.05,0.64,0.64,0.41"
etiqueta energetica coches,110,19,0.24,0.20,24700,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.64,0.64,0.78,0.64,0.64,0.78,0.78,1.00,0.78,1.00,0.64,0.64"
etiquetas eficiencia energetica,110,42,0.30,0.07,6660000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.41,0.52,0.64,0.82,0.41,0.52,0.52,1.00,0.52,0.64,0.64,0.41"
etiquetas eficiencia energética,110,42,0.30,0.07,2810000,Informational,"Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.12,0.17,0.23,0.28,0.12,0.17,0.17,0.28,0.17,0.12,1.00,0.05"
nueva etiqueta energética 2021,110,32,0.16,0.04,2840000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.53,0.53,0.65,1.00,0.34,0.53,0.34,0.34,0.15,0.19,0.15,0.15"
